,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,VPI1,Reg16,CAN16
0,C05 - SGP 1309,Time stamp,44409,17:16:00.4,0,1500,34,,35,0.7,L,50,243,245,242,421,422,421,68,71,72,50,244,244,243,424,425,424,0,0,0,0.05,63.7,28.1,62.5,27,#####,#####,#####,00000000 0011,10010010 0001,MAN,1499,16.2,85,49,4.68,0.08,10,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-1,C03 - SGC 1618,Time stamp,44409,17:16:00.2,0,1499,48,265,39,0.77,L,50,240,240,239,415,415,415,91,80,84,50,239,240,239,417,416,417,0,0,0,0.01,49.3,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1499,24.5,76,45,4.32,0.1,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992487,,,,,,,
-2,C02 - SGC 1617,Time stamp,44409,17:16:00.1,0,1499,50,251,35,0.82,L,50,239,240,240,415,415,416,101,91,96,50,240,240,239,416,416,417,0,0,0,0.014,47.9,27.3,53.7,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1499,25.4,77,43,5,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364297,#####,#####,#####,0,,,
-3,C01 - SGB 1603,Time stamp,44409,17:16:00.1,0,1500,39,242,33,0.75,L,50,240,241,239,415,415,416,77,68,88,50,240,240,240,417,417,417,0,0,0,0.028,51.1,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1501,16.2,86,47,4.28,0.04,12,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-4,C04 - SGC 1615,Time stamp,44409,17:16:00.1,0,1500,40,242,37,0.73,L,50,240,240,240,416,415,416,84,81,91,50,240,240,239,417,417,417,0,0,0,0.026,48.1,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1500,22.5,75,46,5.04,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-5,C06 - SGB 1601,Time stamp,44409,17:16:00.0,0,1499,40,243,35,0.75,L,50,244,244,244,423,423,423,85,70,89,50,244,244,244,425,425,424,0,0,0,-0.052,57.4,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,12.2,86,49,3.96,0.08,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-6,C01 - SGB 1603,Time stamp,44409,17:15:00.4,0,1500,15,117,-1,1,R,50,240,241,239,416,415,416,33,30,32,50,239,240,240,418,418,417,0,0,0,0.064,51.1,28.1,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1500,16.2,85,47,4.48,0.02,10,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-7,C06 - SGB 1601,Time stamp,44409,17:15:00.3,0,1500,29,109,4,0.99,L,50,244,244,243,423,422,423,57,48,59,50,244,244,244,426,425,425,0,0,0,0.01,57.5,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,8.7,86,49,3.96,0.06,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-8,C04 - SGC 1615,Time stamp,44409,17:15:00.3,0,1500,21,103,14,0.83,L,50,240,240,240,417,415,417,53,48,50,50,240,240,240,418,418,418,0,0,0,0.002,47.7,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1501,19.9,75,46,5.04,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-9,C05 - SGP 1309,Time stamp,44409,17:15:00.2,0,1500,8,,-2,0.95,C,50,244,245,243,422,422,422,30,30,28,50,245,244,244,426,425,425,0,0,0,0.068,64.2,28,62.5,27.1,#####,#####,#####,00000000 0011,10010010 0001,MAN,1501,16,85,49,4.72,0.06,8,50,#####,#####,27.7,#####,#####,11110000,0,0,,50,277,,#####,#####,#####,0,0,,
