,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,Reg16,CAN16
0,C02 - SGC 1617,SyncStarted,44551,1:43:29.6,0,1500,0,199,0,0, ,50,240,240,240,416,415,417,0,0,0,50,240,240,239,417,417,417,0,0,0,0,48.1,27.4,40,0,#####,#####,#####,10000000 1000,10010001 0111,MAN,1499,27.2,75,28,5.04,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-1,C02 - SGC 1617,Time stamp,44551,1:43:00.4,0,1499,0,189,0,0, ,50,240,240,240,416,415,417,0,0,0,50,240,240,239,416,416,417,0,0,0,0,48.1,27.4,40,0,#####,#####,#####,10000000 1000,10010001 0111,MAN,1498,28.9,75,29,5,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-2,C07 - SGJ-1500,Time stamp,44551,1:43:00.2,0,1499,0,187,0,0, ,50,240,240,240,415,415,416,0,0,0,50,240,239,239,417,417,417,0,0,0,0,53.5,27.8,43.9,28.1,,,,01000001 0000,01010000 0010,MAN,1500,16.2,82,36,4.44,0.08,10,36,#####,#####,27.2,,,11110000,,0,10110100 00000000,,,,,,,,,
-3,C06 - SGB 1601,Time stamp,44551,1:43:00.2,0,1500,50,185,23,0.91,L,50,240,240,240,415,416,417,94,76,84,50,240,240,240,418,418,418,0,0,0,-0.056,52.3,28.3,53.2,28.2,#####,#####,50,10010000 0100,01001100 0011,MAN,1501,15.3,85,43,3.76,0.12,,,,,,,,,,,10110100 00000000,,,,,,,,11111110 00000000,11111110 00000000
-4,C01 - SGB 1603,Time stamp,44551,1:43:00.2,0,1500,39,187,22,0.87,L,50,240,241,240,415,416,416,72,65,69,50,240,240,240,417,418,418,0,0,0,0.07,53.1,27.9,47.3,27.9,#####,#####,#####,10010001 0100,01001100 0011,MAN,1501,16.4,86,40,4.16,0.06,13,#####,#####,#####,#####,#####,#####,1111,11000000,0,10110100 00000000,,,,,,,,,
-5,C04 - SGC 1615,Time stamp,44551,1:43:00.1,0,1499,48,194,25,0.89,L,50,240,239,240,416,415,416,81,71,61,50,240,239,240,416,417,417,0,0,0,0.03,46.9,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,24.1,75,28,4.68,0.12,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,,,,#####,#####,#####,0,,
-6,C03 - SGC 1618,Time stamp,44551,1:43:00.1,0,1499,52,196,24,0.91,L,50,240,239,239,414,415,415,91,78,76,50,239,240,239,416,416,418,0,0,0,0.028,48.2,27.4,39.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1500,25.6,76,27,4.92,0.14,#####,,,,,,,10111100,,11100,10110100 00000000,#####,#####,2896439,,,,,,
-7,C07 - SGJ-1500,Time stamp,44551,1:42:00.3,0,1500,0,129,0,0, ,50,240,239,240,414,414,416,0,0,0,50,240,239,239,416,416,417,0,0,0,0,53.6,27.8,43.4,28.1,,,,01000001 0000,01010000 0010,MAN,1500,16.2,82,37,4.44,0.08,10,35,#####,#####,27.4,,,11110000,,0,10110100 00000000,,,,,,,,,
-8,C02 - SGC 1617,Time stamp,44551,1:42:00.3,0,1475,0,127,0,0, ,49,237,235,235,410,406,410,0,0,0,50,240,240,240,416,417,417,0,0,0,0,49.5,27.4,40,0,#####,#####,#####,10000000 1000,10010001 0111,MAN,1472,7.6,77,29,5.08,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-9,C06 - SGB 1601,Time stamp,44551,1:42:00.2,0,1501,33,127,12,0.94,L,50,240,240,240,415,415,416,68,54,62,50,240,239,240,418,417,418,0,0,0,0.036,52.3,28.3,52.7,28.2,#####,#####,50,10010000 0100,01001100 0011,MAN,1499,11.4,86,43,3.76,0.08,,,,,,,,,,,10110100 00000000,,,,,,,,11111110 00000000,11111110 00000000
-10,C01 - SGB 1603,Time stamp,44551,1:42:00.2,0,1500,28,127,11,0.92,L,50,240,240,240,415,415,416,55,51,53,50,239,240,240,417,417,417,0,0,0,0.062,53,27.9,47.3,27.9,#####,#####,#####,10010001 0100,01001100 0011,MAN,1500,16,86,39,4.12,0.04,12,#####,#####,#####,#####,#####,#####,1111,11000000,0,10110100 00000000,,,,,,,,,
-11,C04 - SGC 1615,Time stamp,44551,1:42:00.1,0,1499,34,130,14,0.93,L,50,240,240,240,416,415,416,63,55,46,50,240,239,240,416,417,418,0,0,0,0.018,46.8,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,23.1,75,28,4.68,0.12,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,,,,#####,#####,#####,0,,
-12,C03 - SGC 1618,Time stamp,44551,1:42:00.1,0,1500,34,133,13,0.93,L,50,240,239,240,415,415,416,59,53,41,50,240,240,239,417,417,418,0,0,0,0.008,48.1,27.4,40,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1500,24.5,76,27,4.92,0.12,#####,,,,,,,10111100,,11100,10110100 00000000,#####,#####,2896438,,,,,,
-13,C01 - SGB 1603,SetpointChange,44551,1:41:39.3,0,T=INT CON(8315)=1,39,141,14,0.94,L,50,240,239,239,414,415,416,73,66,55,50,239,240,239,416,416,418,0,0,0,0.016,48.1,27.4,40,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1500,23.5,76,27,4.92,0.12,#####,,,,,,,10111100,,11100,10110100 00000000,#####,#####,2896438,,,,,,
-14,C03 - SGC 1618,Time stamp,44551,1:41:00.3,0,1499,39,141,14,0.94,L,50,240,239,239,414,415,416,73,66,55,50,239,240,239,416,416,418,0,0,0,0.016,48.1,27.4,40,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1500,23.5,76,27,4.92,0.12,#####,,,,,,,10111100,,11100,10110100 00000000,#####,#####,2896438,,,,,,
-15,C02 - SGC 1617,Time stamp,44551,1:41:00.2,0,1484,0,134,0,0, ,49.9,243,245,246,423,426,424,0,0,0,50,240,240,239,416,417,417,0,0,0,0,46.9,27.4,39.5,0,#####,#####,#####,10000000 1000,10010001 0111,MAN,1493,29.4,75,30,5.04,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,#####,#####,2163338,#####,#####,#####,0,,
-16,C07 - SGJ-1500,Time stamp,44551,1:41:00.1,0,1500,0,136,0,0, ,50,240,240,240,415,415,416,0,0,0,50,240,239,239,416,417,418,0,0,0,0,53.2,27.8,42.9,28.1,,,,01000001 0000,01010000 0010,MAN,1501,16.2,83,38,4.44,0.06,11,35,#####,#####,27.7,,,11110000,,0,10110100 00000000,,,,,,,,,
-17,C06 - SGB 1601,Time stamp,44551,1:41:00.1,0,1500,35,137,13,0.93,L,50,240,240,240,415,416,417,63,54,59,50,240,239,240,418,417,418,0,0,0,0.038,52.2,28.3,53.2,28.2,#####,#####,50,10010000 0100,01001100 0011,MAN,1500,12.2,85,43,3.76,0.08,,,,,,,,,,,10110100 00000000,,,,,,,,11111110 00000000,11111110 00000000
-18,C04 - SGC 1615,Time stamp,44551,1:41:00.1,0,1499,37,139,14,0.93,L,50,240,239,240,415,415,416,66,61,51,50,240,239,239,416,417,417,0,0,0,0.016,46.8,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,23,75,28,4.64,0.12,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,,,,#####,#####,#####,0,,
-19,C01 - SGB 1603,Time stamp,44551,1:41:00.1,0,1500,25,138,11,0.9,L,50,240,240,240,415,415,416,43,38,40,50,240,240,240,417,417,417,0,0,0,0.066,53,27.9,47.3,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,16.2,85,39,4.16,0.04,12,#####,#####,#####,#####,#####,#####,1111,11000000,0,10110100 00000000,,,,,,,,,
-20,C03 - SGC 1618,SetpointChange,44551,1:40:18.1,0,T=INT CON(8315)=1,31,120,11,0.94,L,50,240,240,240,416,415,416,69,61,51,50,240,239,240,416,417,418,0,0,0,0.014,46.8,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,22.7,75,29,4.64,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,,,,#####,#####,#####,0,,
-21,C04 - SGC 1615,Time stamp,44551,1:40:00.4,0,1499,31,120,11,0.94,L,50,240,240,240,416,415,416,69,61,51,50,240,239,240,416,417,418,0,0,0,0.014,46.8,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,22.7,75,29,4.64,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10110100 00000000,,,,#####,#####,#####,0,,
