,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,TotRun,DEFl,Soot,Reg16,CAN16,kWhour
0,C04 - SGC 1615,Time stamp,8/13/2022,9:33:00.1,0,1499,0,12,0,0, ,50,241,241,241,418,418,418,0,0,0,50,240,239,240,416,417,418,0,0,0,0,50,27.4,50.7,0,#####,#####,#####,10000001 0000,10000001 0001,AUT,1498,19.8,75,41,4.72,0.06,#####,,,,,,,10111100,,11100,11000110 00000000,,,,,,
-1,C04 - SGC 1615,GCB opened,8/13/2022,9:32:43.9,0,1499,2,26,12,0.2,L,50,242,241,242,419,418,419,0,0,0,50,239,238,239,415,416,417,0,0,0,0.028,46.8,27.4,50.7,0,#####,#####,#####,10000001 0000,10000101 0111,AUT,1501,21.2,75,41,4.72,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-2,C04 - SGC 1615,Cooling,8/13/2022,9:32:43.9,0,1499,2,26,12,0.2,L,50,242,241,242,419,418,419,0,0,0,50,239,238,239,415,416,417,0,0,0,0.028,46.8,27.4,50.7,0,#####,#####,#####,10000001 0000,10000101 0111,AUT,1500,21.2,75,41,4.72,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-3,C04 - SGC 1615,Soft unload,8/13/2022,9:32:43.7,0,1499,8,28,33,0.23,L,50,240,239,240,416,415,416,63,58,46,50,240,239,239,416,417,417,0,0,0,0.01,46.8,27.4,50.7,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,20.9,75,41,4.6,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-4,C03 - SGC 1618,Time stamp,8/13/2022,9:32:00.3,0,1500,0,19,0,0, ,50,240,240,240,415,416,416,0,0,0,50,239,239,239,416,416,417,0,0,0,0,49,27.3,45.4,0,#####,#####,#####,00000000 0000,10010001 0111,MAN,1500,21,77,40,4.84,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,#####,#####,,,3968167
-5,C04 - SGC 1615,Time stamp,8/13/2022,9:32:00.0,0,1499,4,20,32,0.14,L,50,240,240,240,416,415,416,58,59,48,50,240,239,239,416,417,417,0,0,0,0.014,46.8,27.4,50.7,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,20.3,75,40,4.76,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-6,C04 - SGC 1615,Time stamp,8/13/2022,9:31:00.3,0,1500,1,10,35,0.04,L,50,240,240,240,416,415,416,68,61,51,50,240,239,239,416,417,417,0,0,0,-0.004,46.7,27.4,50.7,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,20.3,75,41,4.6,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-7,C02 - SGF 1560,Time stamp,8/13/2022,9:31:00.3,0,1501,1,,28,0.06,C,50,240,240,240,416,415,417,46,41,40,50,240,239,239,417,416,417,0,0,0,0.072,53.2,27.8,56.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1502,16,72,44,4.76,0.06,10,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,145,#####,32768,11111110 00000000,11111110 00000000,
-8,C03 - SGC 1618,Time stamp,8/13/2022,9:31:00.2,0,1500,0,10,0,0, ,50,241,240,240,415,415,416,0,0,0,50,240,240,239,417,416,417,0,0,0,0,48.9,27.3,45.4,0,#####,#####,#####,00000000 0000,10010001 0111,MAN,1500,21.8,76,40,4.92,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,#####,#####,,,3968167
-9,C01 - SGB 1603,Time stamp,8/13/2022,9:31:00.2,0,1499,1,11,27,0.06,C,50,241,240,239,415,415,416,45,37,40,50,240,240,240,417,418,418,0,0,0,0.068,52.1,28,58.6,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1501,16,85,45,4.4,0.02,8,#####,#####,#####,#####,#####,#####,1111,11000000,0,11010110 00000000,,,,,,
